formal,informal
می‌خواهم در این زمینه پیشرفت کنم,می‌خوام تو این زمینه بهتر بشم
این کار بسیار تخصصی است,این کار خیلی تخصصیه
آیا می‌دانید چگونه این مشکل را حل کنیم؟,می‌دونی چطوری این مشکل رو حل کنیم؟
این تصمیم بر آینده ما تأثیر خواهد گذاشت,این تصمیم آینده‌مونو تغییر میده
لطفاً این مبلغ را به صورت اقساط پرداخت کنید,لطفاً این پولو قسطی بده
می‌توانیم این کار را به صورت گروهی انجام دهیم,می‌تونیم با هم این کارو انجام بدیم
این روش بسیار ابتکاری است,این روش خیلی خلاقانه‌ست
آیا می‌توانید این مسئله را پیگیری کنید؟,می‌تونی این موضوعو دنبال کنی؟
این محصول در حال حاضر در دسترس نیست,این محصول الان موجود نیس
لطفاً این اطلاعات را با دیگران به اشتراک بگذارید,لطفاً این اطلاعاتو به بقیه هم بگو
می‌خواهم در این زمینه تخصص کسب کنم,می‌خوام تو این زمینه حرفه‌ای بشم
این کار بسیار پرریسک است,این کار خیلی ریسک داره
آیا می‌دانید این اتفاق چرا رخ داد؟,می‌دونی چرا این اتفاق افتاد؟
این تصمیم نیاز به تأیید مدیریت دارد,این تصمیم باید تأیید مدیر رو بگیره
لطفاً این مطلب را با جزئیات مطالعه کنید,لطفاً اینو با دقت بخون
می‌توانیم این مشکل را به راحتی حل کنیم,می‌تونیم این مشکل رو راحت حل کنیم
این روش بسیار اقتصادی است,این روش خیلی به صرفه‌ست
آیا می‌توانید این کار را زودتر انجام دهید؟,می‌تونی این کارو زودتر انجام بدی؟
این موضوع بسیار جالب توجه است,این موضوع خیلی جالبه
لطفاً این موارد را در اولویت قرار دهید,لطفاً اینارو اولویت بدین
می‌خواهم در این زمینه اطلاعات بیشتری کسب کنم,می‌خوام بیشتر در این مورد بدونم
این کار بسیار حرفه‌ای است,این کار خیلی حرفه‌ایه
آیا می‌توانید این مشکل را برطرف کنید؟,می‌تونی این مشکل رو درست کنی؟
این محصول در بازار بسیار محبوب است,این محصول تو بازار خیلی معروفه
لطفاً این اطلاعات را در جایی امن نگه دارید,لطفاً این اطلاعاتو تو جای امنی نگه دار
می‌توانیم این کار را به بهترین شکل انجام دهیم,می‌تونیم این کارو عالی انجام بدیم
این روش بسیار مدرن است,این روش خیلی پیشرفته‌ست
آیا می‌دانید چگونه این سیستم کار می‌کند؟,می‌دونی این سیستم چطوری کار می‌کنه؟
این تصمیم بر روند کار تأثیر خواهد گذاشت,این تصمیم کارمونو تغییر میده
لطفاً این مبلغ را به صورت آنلاین پرداخت کنید,لطفاً این پولو آنلاین پرداخت کن
می‌خواهم در این پروژه همکاری کنم,می‌خوام تو این پروژه کمک کنم
این کار بسیار پیچیده است,این کار خیلی پیچیدست
آیا می‌توانید این مسئله را بررسی کنید؟,می‌تونی این موضوعو چک کنی؟
این محصول در حال حاضر تولید نمی‌شود,این محصول الان تولید نمیشه
لطفاً این اطلاعات را برای من ارسال کنید,لطفاً این اطلاعاتو برام بفرست
می‌توانیم این مشکل را به زودی حل کنیم,می‌تونیم به زودی این مشکل رو حل کنیم
این روش بسیار مفید است,این روش خیلی به درد می‌خوره
آیا می‌توانید این کار را فردا انجام دهید؟,می‌تونی این کارو فردا انجام بدی؟
این موضوع بسیار بحث‌برانگیز است,این موضوع خیلی حاشیه داره
لطفاً این موارد را به خاطر داشته باشید,لطفاً اینارو یادت باشه
می‌خواهم در این زمینه پیشرفت کنم,می‌خوام تو این زمینه بهتر بشم
این کار بسیار تخصصی است,این کار خیلی تخصصیه
آیا می‌دانید چگونه این مشکل را حل کنیم؟,می‌دونی چطوری این مشکل رو حل کنیم؟
این تصمیم بر آینده ما تأثیر خواهد گذاشت,این تصمیم آینده‌مونو تغییر میده
لطفاً این مبلغ را به صورت اقساط پرداخت کنید,لطفاً این پولو قسطی بده
می‌توانیم این کار را به صورت گروهی انجام دهیم,می‌تونیم با هم این کارو انجام بدیم
این روش بسیار ابتکاری است,این روش خیلی خلاقانه‌ست
آیا می‌توانید این مسئله را پیگیری کنید؟,می‌تونی این موضوعو دنبال کنی؟
این محصول در حال حاضر در دسترس نیست,این محصول الان موجود نیس
لطفاً این اطلاعات را با دیگران به اشتراک بگذارید,لطفاً این اطلاعاتو به بقیه هم بگو
می‌خواهم در این زمینه تخصص کسب کنم,می‌خوام تو این زمینه حرفه‌ای بشم
این کار بسیار پرریسک است,این کار خیلی ریسک داره
آیا می‌دانید این اتفاق چرا رخ داد؟,می‌دونی چرا این اتفاق افتاد؟
این تصمیم نیاز به تأیید مدیریت دارد,این تصمیم باید تأیید مدیر رو بگیره
لطفاً این مطلب را با جزئیات مطالعه کنید,لطفاً اینو با دقت بخون
می‌توانیم این مشکل را به راحتی حل کنیم,می‌تونیم این مشکل رو راحت حل کنیم
این روش بسیار اقتصادی است,این روش خیلی به صرفه‌ست
آیا می‌توانید این کار را زودتر انجام دهید؟,می‌تونی این کارو زودتر انجام بدی؟
این موضوع بسیار جالب توجه است,این موضوع خیلی جالبه
لطفاً این موارد را در اولویت قرار دهید,لطفاً اینارو اولویت بدین
می‌خواهم در این زمینه اطلاعات بیشتری کسب کنم,می‌خوام بیشتر در این مورد بدونم
این کار بسیار حرفه‌ای است,این کار خیلی حرفه‌ایه
آیا می‌توانید این مشکل را برطرف کنید؟,می‌تونی این مشکل رو درست کنی؟
این محصول در بازار بسیار محبوب است,این محصول تو بازار خیلی معروفه
لطفاً این اطلاعات را در جایی امن نگه دارید,لطفاً این اطلاعاتو تو جای امنی نگه دار
می‌توانیم این کار را به بهترین شکل انجام دهیم,می‌تونیم این کارو عالی انجام بدیم
این روش بسیار مدرن است,این روش خیلی پیشرفته‌ست
آیا می‌دانید چگونه این سیستم کار می‌کند؟,می‌دونی این سیستم چطوری کار می‌کنه؟
این تصمیم بر روند کار تأثیر خواهد گذاشت,این تصمیم کارمونو تغییر میده
لطفاً این مبلغ را به صورت آنلاین پرداخت کنید,لطفاً این پولو آنلاین پرداخت کن
می‌خواهم در این پروژه همکاری کنم,می‌خوام تو این پروژه کمک کنم
این کار بسیار پیچیده است,این کار خیلی پیچیدست
آیا می‌توانید این مسئله را بررسی کنید؟,می‌تونی این موضوعو چک کنی؟
این محصول در حال حاضر تولید نمی‌شود,این محصول الان تولید نمیشه
لطفاً این اطلاعات را برای من ارسال کنید,لطفاً این اطلاعاتو برام بفرست
می‌توانیم این مشکل را به زودی حل کنیم,می‌تونیم به زودی این مشکل رو حل کنیم
این روش بسیار مفید است,این روش خیلی به درد می‌خوره
آیا می‌توانید این کار را فردا انجام دهید؟,می‌تونی این کارو فردا انجام بدی؟
این موضوع بسیار بحث‌برانگیز است,این موضوع خیلی حاشیه داره
لطفاً این موارد را به خاطر داشته باشید,لطفاً اینارو یادت باشه
می‌خواهم در این زمینه پیشرفت کنم,می‌خوام تو این زمینه بهتر بشم
این کار بسیار تخصصی است,این کار خیلی تخصصیه
آیا می‌دانید چگونه این مشکل را حل کنیم؟,می‌دونی چطوری این مشکل رو حل کنیم؟
